"Filename","mean(e1)","mean(e2)"
"500K-054 003.out",0,0
"500K-054 004.out",2.94702e-05,-3.46504e-05
"500K-054 005.out",5.86939e-05,-5.84683e-05
"500K-054 006.out",0.000124277,-7.57468e-05
"500K-054 007.out",0.000232067,-9.65296e-05
"500K-054 008.out",0.000368694,-0.000162167
"500K-054 009.out",0.00059665,-0.000231805
"500K-054 010.out",0.00099735,-0.000293594
"500K-054 011.out",0.0012417,-0.000232706
"500K-054 012.out",0.00153525,-0.000302925
"500K-054 013.out",0.00185932,-0.000469433
"500K-054 014.out",0.00362551,-0.000687383
"500K-054 015.out",0.00556004,-0.000831571
"500K-054 016.out",0.00562892,-0.000991762
"500K-054 017.out",0.00657357,-0.0013944
"500K-054 018.out",0.0080539,-0.00195758
"500K-054 019.out",0.0107415,-0.00288325
"500K-054 020.out",0.0139271,-0.00418691
"500K-054 021.out",0.0170128,-0.00583698
"500K-054 022.out",0.0203888,-0.00770254
"500K-054 023.out",0.023525,-0.00916494
"500K-054 024.out",0.0270017,-0.0103871
"500K-054 025.out",0.0304022,-0.0112909
"500K-054 026.out",0.0331284,-0.0119769
"500K-054 027.out",0.0366619,-0.0125784
"500K-054 028.out",0.039845,-0.0134513
"500K-054 029.out",0.0427636,-0.0142361
"500K-054 030.out",0.0460836,-0.0154113
"500K-054 031.out",0.0493676,-0.0170421
"500K-054 032.out",0.0527687,-0.0189276
"500K-054 033.out",0.0559857,-0.0206046
"500K-054 034.out",0.0596511,-0.0220913
"500K-054 035.out",0.0629772,-0.0230833
"500K-054 036.out",0.0661515,-0.0240987
"500K-054 037.out",0.0697728,-0.0246803
"500K-054 038.out",0.0733149,-0.025435
"500K-054 039.out",0.0767966,-0.0262021
"500K-054 040.out",0.0803815,-0.0270498
"500K-054 041.out",0.0841043,-0.028282
"500K-054 042.out",0.088096,-0.0299052
"500K-054 043.out",0.0921208,-0.0315956
"500K-054 044.out",0.0962441,-0.0332452
"500K-054 045.out",0.100486,-0.0345343
"500K-054 046.out",0.104656,-0.0358022
"500K-054 047.out",0.108854,-0.0367896
"500K-054 048.out",0.113254,-0.0378306
"500K-054 049.out",0.117617,-0.0390455
"500K-054 050.out",0.122699,-0.0403725
"500K-054 051.out",0.127778,-0.0418703
"500K-054 052.out",0.132848,-0.0434456
"500K-054 053.out",0.137935,-0.0449045
"500K-054 054.out",0.14331,-0.046533
"500K-054 055.out",0.14875,-0.0479654
"500K-054 056.out",0.154414,-0.0494794
"500K-054 057.out",0.160331,-0.0508863
"500K-054 058.out",0.166396,-0.0524071
"500K-054 059.out",0.172508,-0.053865
"500K-054 060.out",0.179466,-0.055318
"500K-054 061.out",0.185961,-0.0569438
"500K-054 062.out",0.193012,-0.0586356
"500K-054 063.out",0.199988,-0.0601805
"500K-054 064.out",0.20717,-0.0617743
"500K-054 065.out",0.214628,-0.0633963
"500K-054 066.out",0.222335,-0.065078
"500K-054 067.out",0.230085,-0.066778
"500K-054 068.out",0.237844,-0.0682773
"500K-054 069.out",0.245753,-0.0696934
"500K-054 070.out",0.25434,-0.0712493
"500K-054 071.out",0.262284,-0.0726336
"500K-054 072.out",0.270755,-0.0738748
"500K-054 073.out",0.279476,-0.0751878
"500K-054 074.out",0.289072,-0.0765381
"500K-054 075.out",0.302925,-0.077304
"500K-054 076.out",0.383188,-0.0796503
"500K-054 077.out",0.376992,-0.0918627
"500K-054 078.out",0.309743,-0.0929318
"500K-054 079.out",0.412452,-0.0902181
"500K-054 080.out",0.371994,-0.0939198
"500K-054 081.out",0.307579,-0.0862882
"500K-054 082.out",0.309664,-0.0844211
"500K-054 083.out",0.313307,-0.0828338
