*SURE-Pulse File3*
Sample Type				:Tension Rect
Sample Name				:20141211-EXP-004-12INCH-185PSI-100.53FPS
In English				:TRUE
Date     				:12/11/2014
File path saved           ¥C:\Users\CameraLaptop\Dropbox\EXPONENT\S004\20141211-EXP-004-12INCH-185PSI-100.53FPS.txt
€SAMPLE/SHOT INFO

Sample Length(in)			:0.25
Sample Height(in)			:0.234
Sample Width(in)			:0.122
Sample Density(lb/in^3)			:0.298
Sample Youngs Modulus (psi*10^6)	:28
Sample Heat Capacity (BTU/(lb*F))	:0.2
Striker Bar Length(in) 			:24
Striker Bar Diameter(in)		:0.75
Striker Bar Speed(ft/s)			:33.38
Striker Bar Density(lb/in^3)			:0.298
Sample Notes 
¥¥
€BAR SETUP/MODULUS CALIBRATION
Bar Setup/Modulus Calibration name	:Exponent
Distance to Incident Strain Gauge(in)	:36
Voltage Calibrated of Incident Bar	:2
Length of Incident Strain Gauge(in)	:0.25
Resistance of 1000 micro Strain
Calibration of Incident Gauge*10^3	:59.94
Gauge Factor of Incident Gauge		:2.15
Gauge Resistance of Incident Gauge	:120
Incident Bar Diameter(in)			:0.75
Incident Bar Density(lb/in^3)			:0.298

Distance to Transmission Strain Gauge(in):36
Voltage Calibrated of Transmission Bar	:2
Length of Incident Strain Gauge(in)	:0.25
Resistance of 1000 micro Strain
Calibration of Transmission Gauge*10^3:59.94
Gauge Factor of Transmission Gauge	:2
Gauge Resistance of Transmission Gauge	:120
Transmission Bar Diameter(in)			:0.75
Transmission Bar Density(lb/in^3)			:0.298

Name of Incident Calibration File	:Manually entered
Name of Transmission Calibration File	:Manually entered
Young's Modulus Incident(psi)		:28
Young's Modulus Transmission(psi)	:28
¥CAMERA PRESENT¥
Camera Frames Per Second	:500000
€PULSE SELECTION
PULSE NOT SELECTED

€DATA
Time(μs)   Incident Bar (V)    Transmission Bar(V)
-198.79856	0.00488341	-0.00610426
-198.74856	-0.02197534	-0.00610426
-198.69856	0	-0.00610426
-198.64856	-0.02197534	-0.01098767
-198.59856	-0.01587108	0
-198.54856	-0.02685875	-0.01098767
-198.49856	-0.01098767	-0.01098767
-198.44856	-0.02197534	0
-198.39856	0	-0.01098767
-198.34856	-0.01098767	0
-198.29856	-0.01587108	0
-198.24856	0	0
-198.19856	-0.01098767	-0.00610426
-198.14856	0.00488341	-0.00610426
-198.09856	0	0
-198.04856	-0.01098767	-0.01709193
-197.99856	0.00976682	-0.01098767
-197.94856	-0.01098767	-0.00610426
-197.89856	-0.00610426	-0.01098767
-197.84856	0	-0.00610426
-197.79856	-0.00610426	-0.01098767
-197.74856	-0.00610426	-0.00610426
-197.69856	-0.00610426	-0.00610426
-197.64856	-0.01098767	-0.00610426
-197.59856	-0.01098767	-0.01098767
-197.54856	-0.01587108	-0.00610426
-197.49856	-0.01587108	-0.00610426
-197.44856	-0.01098767	0
-197.39856	-0.02197534	-0.01709193
-197.34856	-0.01098767	-0.00610426
-197.29856	-0.01587108	0
-197.24856	-0.02197534	-0.02685875
-197.19856	-0.00610426	-0.01098767
-197.14856	-0.01587108	-0.00610426
-197.09856	-0.01098767	-0.01098767
-197.04856	-0.01098767	-0.00610426
-196.99856	-0.00610426	0
-196.94856	-0.01098767	0
-196.89856	-0.00610426	0
-196.84856	0.00976682	-0.01098767
-196.79856	-0.00610426	-0.01709193
-196.74856	0	-0.01098767
-196.69856	0	-0.01709193
-196.64856	0.00976682	-0.00610426
-196.59856	-0.00610426	0.00488341
-196.54856	0	-0.00610426
-196.49856	0.00488341	-0.00610426
-196.44856	-0.01098767	-0.00610426
-196.39856	0.00976682	-0.01098767
-196.34856	0.00976682	-0.01709193
-196.29856	0	0
-196.24856	-0.00610426	-0.01709193
