Time	Channel A	Channel B
(ms)	(V)	(V)

-0.19879856	0.00488341	-0.00610426
-0.19874856	-0.02197534	-0.00610426
-0.19869856	0.00000000	-0.00610426
-0.19864856	-0.02197534	-0.01098767
-0.19859856	-0.01587108	0.00000000
-0.19854856	-0.02685875	-0.01098767
-0.19849856	-0.01098767	-0.01098767
-0.19844856	-0.02197534	0.00000000
-0.19839856	0.00000000	-0.01098767
-0.19834856	-0.01098767	0.00000000
-0.19829856	-0.01587108	0.00000000
-0.19824856	0.00000000	0.00000000
-0.19819856	-0.01098767	-0.00610426
-0.19814856	0.00488341	-0.00610426
-0.19809856	0.00000000	0.00000000
-0.19804856	-0.01098767	-0.01709193
-0.19799856	0.00976682	-0.01098767
-0.19794856	-0.01098767	-0.00610426
-0.19789856	-0.00610426	-0.01098767
-0.19784856	0.00000000	-0.00610426
-0.19779856	-0.00610426	-0.01098767
-0.19774856	-0.00610426	-0.00610426
-0.19769856	-0.00610426	-0.00610426
-0.19764856	-0.01098767	-0.00610426
-0.19759856	-0.01098767	-0.01098767
-0.19754856	-0.01587108	-0.00610426
-0.19749856	-0.01587108	-0.00610426
-0.19744856	-0.01098767	0.00000000
-0.19739856	-0.02197534	-0.01709193
-0.19734856	-0.01098767	-0.00610426
-0.19729856	-0.01587108	0.00000000
-0.19724856	-0.02197534	-0.02685875
-0.19719856	-0.00610426	-0.01098767
-0.19714856	-0.01587108	-0.00610426
-0.19709856	-0.01098767	-0.01098767
-0.19704856	-0.01098767	-0.00610426
-0.19699856	-0.00610426	0.00000000
-0.19694856	-0.01098767	0.00000000
-0.19689856	-0.00610426	0.00000000
-0.19684856	0.00976682	-0.01098767
-0.19679856	-0.00610426	-0.01709193
-0.19674856	0.00000000	-0.01098767
-0.19669856	0.00000000	-0.01709193
-0.19664856	0.00976682	-0.00610426
-0.19659856	-0.00610426	0.00488341
-0.19654856	0.00000000	-0.00610426
-0.19649856	0.00488341	-0.00610426
-0.19644856	-0.01098767	-0.00610426
-0.19639856	0.00976682	-0.01098767
-0.19634856	0.00976682	-0.01709193
-0.19629856	0.00000000	0.00000000
-0.19624856	-0.00610426	-0.01709193
-0.19619856	-0.00610426	-0.01098767
-0.19614856	-0.01098767	-0.00610426
-0.19609856	-0.00610426	0.00000000
-0.19604856	0.00976682	-0.01098767
-0.19599856	-0.00610426	-0.01098767
-0.19594856	0.00000000	-0.01098767
-0.19589856	-0.01098767	0.00000000
-0.19584856	-0.00610426	-0.02197534
-0.19579856	-0.00610426	0.00000000
-0.19574856	-0.00610426	-0.01709193
-0.19569856	-0.00610426	-0.01709193
-0.19564856	-0.00610426	0.00000000
-0.19559856	0.00488341	-0.01709193
-0.19554856	-0.01098767	-0.01709193
-0.19549856	-0.00610426	-0.00610426
-0.19544856	-0.00610426	-0.00610426
-0.19539856	0.00488341	0.00488341
-0.19534856	-0.00610426	0.00000000
-0.19529856	0.00488341	0.00000000
-0.19524856	0.00000000	-0.00610426
-0.19519856	-0.00610426	0.00488341
-0.19514856	-0.00610426	-0.00610426
-0.19509856	0.00976682	-0.00610426
-0.19504856	0.00488341	-0.01098767
-0.19499856	0.00000000	0.00488341
-0.19494856	0.00000000	0.00000000
-0.19489856	0.01465023	0.00488341
-0.19484856	0.00000000	-0.00610426
-0.19479856	0.00976682	0.00000000
-0.19474856	0.00000000	-0.00610426
-0.19469856	0.01465023	0.00000000
-0.19464856	0.00976682	-0.00610426
-0.19459856	0.00488341	-0.00610426
-0.19454856	0.00000000	-0.00610426
-0.19449856	0.00000000	-0.01098767
-0.19444856	-0.01098767	-0.01098767
-0.19439856	-0.00610426	-0.00610426
-0.19434856	-0.01098767	-0.01098767
-0.19429856	-0.01098767	-0.00610426
-0.19424856	0.00000000	-0.01098767
-0.19419856	-0.01587108	-0.01098767
-0.19414856	-0.00610426	-0.01098767
-0.19409856	0.00000000	0.00000000
-0.19404856	0.00000000	-0.00610426
-0.19399856	0.00488341	0.00000000
-0.19394856	0.00000000	-0.01098767
-0.19389856	0.00000000	-0.00610426
-0.19384856	0.00000000	-0.00610426
-0.19379856	-0.01098767	0.00000000
-0.19374856	-0.01587108	-0.00610426
-0.19369856	0.00000000	-0.00610426
-0.19364856	0.00488341	-0.01098767
-0.19359856	-0.00610426	-0.01098767
-0.19354856	-0.00610426	0.00000000
-0.19349856	-0.00610426	0.00000000
-0.19344856	0.00976682	-0.00610426
-0.19339856	0.00000000	-0.01709193
-0.19334856	0.00000000	-0.01098767
-0.19329856	0.00000000	0.00000000
-0.19324856	0.00488341	0.00000000
