Time	Channel A	Channel B
(us)	(V)	(V)

-98.64860558	0.00000000	0.02075449
-98.63610558	0.02075449	0.01465023
-98.62360558	0.00976682	0.02563789
-98.61110558	0.00976682	0.02075449
-98.59860559	0.02075449	0.02563789
-98.58610559	0.01587108	0.02075449
-98.57360559	0.00976682	0.01465023
-98.56110559	0.00976682	0.02563789
-98.54860559	0.02563789	0.01465023
-98.53610559	0.01587108	0.01465023
-98.52360559	0.01587108	0.02075449
-98.51110559	0.00000000	0.01465023
-98.49860559	0.02075449	0.02075449
-98.48610559	0.00000000	0.02075449
-98.47360559	0.00976682	0.02075449
-98.46110559	0.01587108	0.03052130
-98.44860559	0.01587108	0.02563789
-98.43610559	0.00976682	0.02563789
-98.42360560	0.01587108	0.03052130
-98.41110560	0.00000000	0.03052130
-98.39860560	0.00488341	0.01465023
-98.38610560	0.02075449	0.02075449
-98.37360560	0.00976682	0.00976682
-98.36110560	0.00976682	0.02563789
-98.34860560	0.00976682	0.02075449
-98.33610560	0.00976682	0.02563789
-98.32360560	0.00488341	0.01465023
-98.31110560	0.00488341	0.01465023
-98.29860560	0.01587108	0.02563789
-98.28610560	0.00488341	0.02563789
-98.27360560	0.00976682	0.02563789
-98.26110561	0.00000000	0.02075449
-98.24860561	0.00488341	0.02075449
-98.23610561	0.01587108	0.02563789
-98.22360561	0.00976682	0.01465023
-98.21110561	0.01587108	0.02563789
-98.19860561	0.00488341	0.01465023
-98.18610561	0.00976682	0.02075449
-98.17360561	0.00000000	0.02075449
-98.16110561	0.00488341	0.00976682
-98.14860561	0.00976682	0.03052130
-98.13610561	0.00488341	0.00976682
-98.12360561	0.00000000	0.02075449
-98.11110561	0.02075449	0.02563789
-98.09860561	0.01587108	0.02563789
-98.08610562	0.01587108	0.01465023
-98.07360562	0.02075449	0.02563789
-98.06110562	0.00976682	0.02563789
-98.04860562	0.01587108	0.03052130
-98.03610562	0.02075449	0.00976682
-98.02360562	0.00976682	0.00976682
-98.01110562	0.01587108	0.02563789
-97.99860562	0.00976682	0.02563789
-97.98610562	0.00488341	0.02075449
-97.97360562	0.01587108	0.02075449
-97.96110562	0.01587108	0.01465023
-97.94860562	0.00488341	0.00976682
-97.93610562	0.00976682	0.02075449
-97.92360563	0.00976682	0.00488341
-97.91110563	0.01587108	0.00488341
-97.89860563	0.00488341	0.02563789
-97.88610563	0.01587108	0.03052130
-97.87360563	0.00488341	0.01465023
-97.86110563	0.00976682	0.02563789
-97.84860563	0.00976682	0.01465023
-97.83610563	0.00976682	0.02075449
-97.82360563	0.00976682	0.02563789
-97.81110563	0.00976682	0.02563789
-97.79860563	0.00976682	0.02075449
-97.78610563	0.00488341	0.00976682
-97.77360563	-0.00610426	0.02563789
-97.76110563	0.00976682	0.02075449
-97.74860564	0.01587108	0.02075449
-97.73610564	0.00488341	0.01465023
-97.72360564	0.00000000	0.02075449
-97.71110564	-0.00610426	0.02075449
-97.69860564	-0.00610426	0.01465023
-97.68610564	0.00976682	0.02563789
-97.67360564	0.00000000	0.01465023
-97.66110564	0.00976682	0.02563789
-97.64860564	0.00488341	0.02075449
-97.63610564	0.00976682	0.01465023
-97.62360564	-0.00610426	0.02563789
-97.61110564	0.00000000	0.03662556
-97.59860564	0.00976682	0.01465023
-97.58610565	0.00976682	0.03052130
-97.57360565	0.00976682	0.00976682
-97.56110565	0.00976682	0.01465023
-97.54860565	0.00488341	0.00976682
-97.53610565	0.00976682	0.03052130
-97.52360565	0.00488341	0.00976682
-97.51110565	0.00488341	0.01465023
-97.49860565	0.00976682	0.02075449
-97.48610565	0.00000000	0.01465023
-97.47360565	0.02075449	0.02563789
-97.46110565	0.00976682	0.02075449
-97.44860565	0.00488341	0.03052130
-97.43610565	0.00488341	0.01465023
-97.42360565	0.01587108	0.00976682
-97.41110566	0.00488341	0.02075449
-97.39860566	0.00488341	0.01465023
-97.38610566	0.00976682	0.03052130
-97.37360566	0.01587108	0.03052130
-97.36110566	0.00000000	0.02075449
-97.34860566	0.00976682	0.01465023
-97.33610566	0.00976682	0.00976682
-97.32360566	0.01587108	0.01465023
-97.31110566	0.00976682	0.02075449
-97.29860566	0.01587108	0.03052130
-97.28610566	0.01587108	0.02563789
-97.27360566	0.00488341	0.02075449
-97.26110566	0.00976682	0.02075449
-97.24860567	0.00000000	0.02075449
-97.23610567	0.01587108	0.02563789
-97.22360567	0.00976682	0.02075449
-97.21110567	0.00976682	0.01465023
-97.19860567	0.00976682	0.02075449
-97.18610567	0.01587108	0.00976682
-97.17360567	0.00000000	0.02563789
-97.16110567	0.01587108	0.01465023
-97.14860567	0.00976682	0.02075449
-97.13610567	0.00976682	0.02563789
-97.12360567	0.00488341	0.01465023
-97.11110567	0.00976682	0.01465023
-97.09860567	0.00488341	0.00488341
-97.08610567	0.00976682	0.01465023
-97.07360568	0.01587108	0.01465023
-97.06110568	0.00000000	0.01465023
-97.04860568	0.00488341	0.02563789
-97.03610568	0.01587108	0.02075449
-97.02360568	0.00488341	0.01465023
-97.01110568	0.00488341	0.02075449
-96.99860568	0.00488341	0.01465023
-96.98610568	0.00976682	0.00976682
-96.97360568	0.00976682	0.02075449
-96.96110568	0.00488341	0.02075449
-96.94860568	0.00488341	0.00976682
-96.93610568	0.00976682	0.02075449
-96.92360568	0.00488341	0.03662556
-96.91110569	0.00000000	0.01465023
-96.89860569	0.00000000	0.01465023
-96.88610569	0.00000000	0.00976682
-96.87360569	0.00488341	0.02563789
-96.86110569	0.00488341	0.02563789
-96.84860569	0.00488341	0.00976682
-96.83610569	0.00488341	0.02075449
-96.82360569	0.00976682	0.02075449
-96.81110569	0.00976682	0.01465023
-96.79860569	0.00976682	0.01465023
-96.78610569	0.00488341	0.03052130
-96.77360569	0.00000000	0.01465023
-96.76110569	0.00976682	0.03052130
-96.74860569	0.00488341	0.00976682
-96.73610570	0.00976682	0.02563789
-96.72360570	0.00976682	0.02075449
-96.71110570	0.00488341	0.02075449
-96.69860570	0.00976682	0.02563789
-96.68610570	0.00976682	0.01465023
-96.67360570	0.00488341	0.01465023
-96.66110570	0.00976682	0.02563789
-96.64860570	0.00000000	0.01465023
-96.63610570	0.01587108	0.02075449
-96.62360570	0.00976682	0.01465023
-96.61110570	0.01587108	0.02563789
-96.59860570	0.00976682	0.03052130
-96.58610570	0.00976682	0.00976682
-96.57360571	0.00488341	0.00488341
-96.56110571	0.01587108	0.02563789
-96.54860571	0.02075449	0.02563789
-96.53610571	0.01587108	0.01465023
-96.52360571	0.01587108	0.01465023
-96.51110571	0.00976682	0.00976682
-96.49860571	0.00488341	0.02075449
-96.48610571	0.00488341	0.00976682
-96.47360571	0.00976682	0.02563789
-96.46110571	0.00488341	0.00488341
-96.44860571	0.00976682	0.02075449
-96.43610571	0.00000000	0.01465023
-96.42360571	0.00000000	0.01465023
-96.41110572	0.00976682	0.01465023
-96.39860572	0.00000000	0.00976682
-96.38610572	0.00976682	0.01465023
-96.37360572	0.00488341	0.01465023
-96.36110572	0.01587108	0.01465023
-96.34860572	0.00976682	0.01465023
-96.33610572	0.00000000	0.02075449
-96.32360572	0.00000000	0.01465023
-96.31110572	0.00000000	0.02075449
-96.29860572	-0.00610426	0.02075449
-96.28610572	0.02563789	0.01465023
-96.27360572	0.00000000	0.01465023
-96.26110572	0.00488341	0.01465023
-96.24860572	0.00000000	0.01465023
-96.23610573	0.00488341	0.00976682
-96.22360573	0.00488341	0.00488341
-96.21110573	0.00000000	0.01465023
-96.19860573	0.00488341	0.02563789
-96.18610573	0.00976682	0.00976682
-96.17360573	0.00000000	0.02075449
-96.16110573	0.00488341	0.00488341
-96.14860573	0.00976682	0.01465023
-96.13610573	-0.00610426	0.00976682
-96.12360573	0.01587108	0.02075449
-96.11110573	0.00976682	0.01465023
-96.09860573	0.00000000	0.02563789
-96.08610573	0.00488341	0.02075449
-96.07360574	0.00976682	0.02075449
-96.06110574	0.00488341	0.00000000
-96.04860574	0.00488341	0.00976682
-96.03610574	-0.01098767	0.00976682
-96.02360574	-0.01098767	0.00976682
-96.01110574	0.00000000	0.00976682
-95.99860574	0.00976682	0.00488341
-95.98610574	0.00488341	0.00976682
-95.97360574	0.00976682	0.01465023
-95.96110574	0.00488341	0.00488341
-95.94860574	-0.00610426	0.02075449
-95.93610574	0.00488341	0.00976682
-95.92360574	0.00976682	0.01465023
-95.91110574	0.00000000	0.00488341
-95.89860575	0.02075449	0.01465023
-95.88610575	-0.00610426	0.02075449
-95.87360575	0.00000000	0.01465023
-95.86110575	0.00976682	0.00976682
-95.84860575	0.00000000	0.02075449
-95.83610575	0.00488341	0.02075449
-95.82360575	0.00488341	0.01465023
-95.81110575	-0.00610426	0.02075449
-95.79860575	0.00488341	0.02075449
-95.78610575	0.00488341	0.02075449
-95.77360575	0.00488341	0.02075449
-95.76110575	0.00976682	0.00488341
-95.74860575	0.00976682	0.02075449
-95.73610576	0.00488341	0.02563789
-95.72360576	-0.00610426	0.00976682
-95.71110576	0.00976682	0.02075449
-95.69860576	0.00488341	0.02563789
-95.68610576	0.00000000	0.02075449
-95.67360576	0.00000000	0.01465023
-95.66110576	0.00488341	0.00976682
-95.64860576	0.00976682	0.00976682
-95.63610576	0.00000000	0.01465023
-95.62360576	0.00000000	0.00488341
-95.61110576	0.00488341	0.01465023
-95.59860576	0.00976682	0.01465023
-95.58610576	0.00488341	0.03052130
-95.57360576	0.00488341	0.01465023
-95.56110577	0.00000000	0.02075449
-95.54860577	0.00976682	0.01465023
-95.53610577	0.00488341	0.01465023
-95.52360577	0.00976682	0.00976682
-95.51110577	0.00488341	0.00000000
-95.49860577	0.00488341	0.01465023
-95.48610577	0.00976682	0.02075449
-95.47360577	0.01587108	0.00976682
-95.46110577	0.01587108	0.01465023
-95.44860577	0.02075449	0.02563789
-95.43610577	0.00488341	0.01465023
-95.42360577	0.00000000	0.01465023
-95.41110577	0.00976682	0.01465023
-95.39860578	0.01587108	0.01465023
-95.38610578	0.00488341	0.01465023
-95.37360578	0.00488341	0.00976682
-95.36110578	0.00488341	0.00488341
-95.34860578	0.00976682	0.00976682
-95.33610578	0.00976682	0.02075449
-95.32360578	0.00976682	0.02563789
-95.31110578	0.00488341	0.01465023
-95.29860578	0.00488341	0.01465023
-95.28610578	0.00976682	0.02075449
-95.27360578	-0.00610426	0.01465023
-95.26110578	0.00488341	0.00488341
-95.24860578	0.00488341	0.00976682
-95.23610578	0.00488341	0.00488341
-95.22360579	0.00488341	0.01465023
-95.21110579	0.00976682	0.02563789
-95.19860579	0.01587108	0.01465023
-95.18610579	0.00488341	0.00488341
-95.17360579	-0.01098767	0.00976682
-95.16110579	0.00976682	0.01465023
-95.14860579	0.00000000	0.00976682
-95.13610579	0.00000000	0.01465023
-95.12360579	0.00488341	0.01465023
-95.11110579	0.00976682	0.02075449
-95.09860579	0.00976682	-0.00610426
-95.08610579	0.00488341	0.00488341
-95.07360579	0.00488341	0.01465023
-95.06110580	0.00976682	0.01465023
-95.04860580	0.00488341	0.01465023
-95.03610580	0.00488341	0.01465023
-95.02360580	0.01587108	0.01465023
