Time	Channel A	Channel B
(us)	(V)	(V)

-98.64404209	0.00488341	0.00976682
-98.63154209	0.00488341	0.00976682
-98.61904209	0.00488341	0.00000000
-98.60654209	0.00000000	0.01465023
-98.59404209	0.00488341	0.00488341
-98.58154209	0.00488341	0.00488341
-98.56904209	0.00976682	0.01465023
-98.55654210	-0.00610426	0.00000000
-98.54404210	0.00000000	0.00488341
-98.53154210	0.00488341	0.01465023
-98.51904210	-0.00610426	0.00488341
-98.50654210	0.00976682	0.01465023
-98.49404210	0.00488341	0.00488341
-98.48154210	0.00488341	0.01465023
-98.46904210	0.00000000	0.00488341
-98.45654210	0.00488341	0.01465023
-98.44404210	-0.00610426	0.00976682
-98.43154210	0.00000000	0.01465023
-98.41904210	0.00488341	0.01465023
-98.40654210	0.00000000	0.00000000
-98.39404211	-0.00610426	0.00488341
-98.38154211	0.00000000	0.00976682
-98.36904211	0.00976682	0.01465023
-98.35654211	0.00488341	0.00976682
-98.34404211	0.00488341	0.02075449
-98.33154211	0.00488341	0.00488341
-98.31904211	0.00488341	0.00488341
-98.30654211	0.00488341	0.00488341
-98.29404211	0.00000000	0.00976682
-98.28154211	0.00488341	-0.00610426
-98.26904211	0.00000000	0.00000000
-98.25654211	0.00488341	-0.00610426
-98.24404211	0.00488341	0.00000000
-98.23154211	0.00000000	0.00488341
-98.21904212	-0.00610426	0.02075449
-98.20654212	0.00000000	0.00976682
-98.19404212	0.00976682	0.00000000
-98.18154212	0.01587108	0.00488341
-98.16904212	0.00488341	0.00488341
-98.15654212	0.00488341	0.01465023
-98.14404212	0.00000000	0.00488341
-98.13154212	-0.00610426	0.00488341
-98.11904212	0.00488341	0.00488341
-98.10654212	0.00000000	0.00488341
-98.09404212	0.00000000	0.00488341
-98.08154212	-0.00610426	0.00976682
-98.06904212	0.00000000	0.00976682
-98.05654213	0.00000000	0.00488341
-98.04404213	0.01587108	0.00976682
-98.03154213	0.00000000	0.00000000
-98.01904213	0.00488341	0.01465023
-98.00654213	0.00488341	0.00000000
-97.99404213	0.00488341	0.01465023
-97.98154213	0.00000000	0.00976682
-97.96904213	0.00488341	0.00976682
-97.95654213	0.00000000	0.00000000
-97.94404213	0.00000000	0.00488341
-97.93154213	0.00000000	0.00488341
-97.91904213	0.00000000	0.00488341
-97.90654213	-0.00610426	0.00488341
-97.89404213	0.00976682	0.00000000
-97.88154214	-0.00610426	0.00976682
-97.86904214	-0.00610426	-0.00610426
-97.85654214	0.00000000	0.00488341
-97.84404214	0.00488341	0.00000000
-97.83154214	0.00488341	0.00976682
-97.81904214	0.00976682	0.00488341
-97.80654214	0.00000000	0.00488341
-97.79404214	-0.00610426	0.01465023
-97.78154214	0.00000000	0.00488341
-97.76904214	-0.00610426	0.00000000
-97.75654214	0.00976682	-0.00610426
-97.74404214	-0.00610426	0.01465023
-97.73154214	0.01587108	0.00976682
-97.71904215	-0.01098767	0.00000000
-97.70654215	0.00000000	0.00976682
-97.69404215	-0.00610426	0.00000000
-97.68154215	-0.00610426	0.00000000
-97.66904215	0.00000000	0.00488341
-97.65654215	0.00976682	0.00488341
-97.64404215	0.00488341	0.00488341
-97.63154215	0.00488341	0.00488341
-97.61904215	0.00000000	0.00488341
-97.60654215	-0.00610426	-0.00610426
-97.59404215	-0.01098767	0.00976682
-97.58154215	-0.00610426	-0.00610426
-97.56904215	-0.01709193	0.00976682
-97.55654215	0.00000000	0.00000000
-97.54404216	-0.00610426	0.00488341
-97.53154216	-0.00610426	0.01465023
-97.51904216	-0.00610426	0.00488341
-97.50654216	-0.00610426	-0.00610426
-97.49404216	0.00976682	0.01465023
-97.48154216	0.00000000	0.00488341
-97.46904216	0.00000000	0.00000000
-97.45654216	0.00000000	0.00488341
-97.44404216	0.00488341	0.00976682
-97.43154216	-0.00610426	0.01465023
-97.41904216	0.00000000	0.00000000
-97.40654216	0.00000000	0.00000000
-97.39404216	0.00000000	0.01465023
-97.38154217	-0.00610426	-0.00610426
-97.36904217	-0.00610426	-0.00610426
-97.35654217	0.00000000	0.00976682
-97.34404217	-0.01098767	0.00000000
-97.33154217	-0.01098767	0.00488341
-97.31904217	0.00000000	0.00000000
-97.30654217	-0.01098767	0.02563789
-97.29404217	0.00488341	0.02075449
-97.28154217	0.00000000	0.01465023
-97.26904217	-0.00610426	-0.01587108
-97.25654217	0.00488341	-0.00610426
-97.24404217	0.00000000	0.00976682
-97.23154217	-0.00610426	0.00488341
-97.21904217	0.00488341	0.00488341
-97.20654218	0.00000000	0.02075449
-97.19404218	0.00488341	0.00976682
-97.18154218	0.00000000	0.00000000
-97.16904218	0.00976682	-0.00610426
-97.15654218	0.00488341	-0.00610426
-97.14404218	-0.00610426	-0.00610426
-97.13154218	-0.00610426	0.00000000
-97.11904218	-0.01098767	0.00000000
-97.10654218	0.00000000	0.00976682
-97.09404218	0.00000000	0.00488341
-97.08154218	-0.01709193	0.00488341
-97.06904218	0.00000000	0.00976682
-97.05654218	0.00000000	0.00488341
-97.04404219	0.00488341	-0.00610426
-97.03154219	0.00488341	0.00000000
-97.01904219	0.00000000	0.00000000
-97.00654219	0.00488341	0.00000000
-96.99404219	-0.00610426	0.00976682
-96.98154219	0.00000000	0.00976682
-96.96904219	-0.00610426	0.00000000
-96.95654219	-0.00610426	0.00976682
-96.94404219	-0.00610426	0.01465023
-96.93154219	-0.01098767	0.00488341
-96.91904219	-0.00610426	0.00976682
-96.90654219	-0.00610426	0.00488341
-96.89404219	0.00000000	0.00488341
-96.88154219	-0.00610426	0.00000000
-96.86904220	-0.00610426	0.00000000
-96.85654220	-0.00610426	-0.00610426
-96.84404220	-0.00610426	0.00976682
-96.83154220	0.00000000	-0.00610426
-96.81904220	-0.01098767	0.00488341
-96.80654220	0.00488341	0.00488341
-96.79404220	-0.01709193	0.00488341
-96.78154220	0.00000000	0.00488341
-96.76904220	-0.01098767	-0.00610426
-96.75654220	0.00488341	0.00000000
-96.74404220	0.00488341	0.00488341
-96.73154220	0.00000000	0.01465023
-96.71904220	-0.01098767	0.00488341
-96.70654221	-0.01098767	0.00000000
-96.69404221	0.00488341	0.00488341
-96.68154221	0.00488341	-0.01098767
-96.66904221	-0.00610426	0.00000000
-96.65654221	0.00488341	0.00488341
-96.64404221	0.00000000	0.00000000
-96.63154221	-0.00610426	0.00000000
-96.61904221	-0.00610426	0.00000000
-96.60654221	-0.00610426	0.00000000
-96.59404221	-0.00610426	0.00488341
-96.58154221	0.00000000	0.00976682
-96.56904221	0.00000000	-0.00610426
-96.55654221	0.00000000	0.00488341
-96.54404221	0.00488341	-0.00610426
-96.53154222	0.00000000	0.00488341
-96.51904222	0.00000000	0.00488341
-96.50654222	0.00000000	-0.01098767
-96.49404222	0.00000000	0.00976682
-96.48154222	0.00000000	0.00000000
-96.46904222	0.00000000	0.00000000
-96.45654222	-0.00610426	-0.00610426
-96.44404222	0.00000000	0.00000000
-96.43154222	-0.00610426	0.00976682
-96.41904222	0.00000000	0.02075449
-96.40654222	0.00976682	-0.00610426
-96.39404222	0.00488341	0.00488341
-96.38154222	0.00000000	0.00000000
-96.36904223	0.00976682	0.00000000
-96.35654223	0.00000000	-0.00610426
-96.34404223	-0.01098767	0.00000000
-96.33154223	-0.00610426	0.00976682
-96.31904223	0.00000000	0.00488341
-96.30654223	0.00000000	0.00000000
-96.29404223	-0.01098767	0.00000000
-96.28154223	0.00000000	0.00000000
-96.26904223	0.00000000	0.00976682
-96.25654223	0.00000000	0.00000000
-96.24404223	0.00488341	0.00000000
-96.23154223	0.00000000	0.00000000
-96.21904223	-0.00610426	0.00000000
-96.20654223	-0.00610426	-0.00610426
-96.19404224	-0.00610426	0.00000000
-96.18154224	-0.01098767	0.00000000
-96.16904224	0.00976682	0.00488341
-96.15654224	-0.01098767	0.00000000
-96.14404224	-0.00610426	0.00000000
-96.13154224	-0.01098767	0.00000000
-96.11904224	0.00000000	0.00488341
-96.10654224	-0.00610426	-0.00610426
-96.09404224	0.00000000	0.00488341
-96.08154224	0.00488341	0.00976682
-96.06904224	0.00000000	0.00000000
-96.05654224	-0.00610426	0.00488341
-96.04404224	-0.01098767	0.00976682
-96.03154225	-0.01098767	0.01465023
-96.01904225	0.00000000	0.00000000
-96.00654225	0.00000000	0.00976682
-95.99404225	0.00488341	0.00488341
-95.98154225	0.00000000	0.00000000
-95.96904225	-0.00610426	-0.00610426
-95.95654225	0.00488341	0.00000000
-95.94404225	-0.00610426	0.00000000
-95.93154225	-0.00610426	0.00488341
-95.91904225	-0.00610426	0.00000000
-95.90654225	-0.01709193	-0.01587108
-95.89404225	0.00488341	-0.00610426
-95.88154225	0.00000000	0.00000000
-95.86904226	-0.00610426	-0.01098767
-95.85654226	-0.00610426	-0.00610426
-95.84404226	-0.00610426	0.00488341
-95.83154226	0.00000000	0.00488341
-95.81904226	0.00488341	0.00976682
-95.80654226	-0.00610426	0.00488341
-95.79404226	0.00000000	0.00976682
-95.78154226	0.00000000	0.00488341
-95.76904226	0.00976682	0.00488341
-95.75654226	-0.01709193	-0.00610426
-95.74404226	-0.00610426	-0.01098767
-95.73154226	0.00000000	-0.00610426
-95.71904226	0.00488341	-0.01098767
-95.70654226	0.00000000	0.00000000
-95.69404227	-0.00610426	0.00488341
-95.68154227	0.00488341	-0.00610426
-95.66904227	0.00488341	-0.00610426
-95.65654227	-0.01098767	0.00000000
-95.64404227	-0.01098767	0.00488341
-95.63154227	0.00000000	-0.00610426
-95.61904227	-0.01098767	0.00488341
-95.60654227	-0.00610426	-0.00610426
-95.59404227	0.00000000	-0.00610426
-95.58154227	0.00000000	0.00488341
-95.56904227	-0.00610426	0.00000000
-95.55654227	-0.01098767	0.00488341
-95.54404227	-0.00610426	-0.00610426
-95.53154228	0.00488341	0.00488341
-95.51904228	-0.00610426	-0.00610426
-95.50654228	-0.01098767	-0.00610426
-95.49404228	-0.00610426	0.00976682
-95.48154228	-0.00610426	0.00488341
-95.46904228	-0.00610426	0.00000000
-95.45654228	-0.00610426	0.00976682
-95.44404228	-0.00610426	-0.01098767
-95.43154228	0.00000000	0.00000000
-95.41904228	0.00488341	0.00000000
-95.40654228	-0.01098767	0.00000000
-95.39404228	-0.00610426	0.00000000
-95.38154228	0.00488341	-0.01587108
-95.36904228	-0.01098767	-0.01098767
-95.35654229	-0.01098767	-0.01098767
-95.34404229	0.00000000	-0.00610426
-95.33154229	-0.00610426	-0.00610426
-95.31904229	0.00000000	0.00000000
-95.30654229	-0.00610426	0.00976682
-95.29404229	-0.00610426	-0.00610426
-95.28154229	-0.00610426	-0.01098767
-95.26904229	0.00000000	-0.01098767
-95.25654229	-0.00610426	-0.00610426
-95.24404229	-0.01098767	0.00000000
-95.23154229	-0.00610426	-0.00610426
-95.21904229	-0.01709193	0.00000000
-95.20654229	-0.00610426	0.00000000
-95.19404230	-0.01098767	0.00488341
-95.18154230	-0.01098767	0.00000000
-95.16904230	0.00488341	-0.00610426
-95.15654230	0.00000000	0.00976682
-95.14404230	0.00000000	0.00000000
-95.13154230	-0.00610426	0.00000000
-95.11904230	0.00488341	0.00000000
