"Filename","mean(e1)"
"S004_5e5048.out",0
"S004_5e5049.out",0.000153638
"S004_5e5050.out",0.000485148
"S004_5e5051.out",0.001663
"S004_5e5052.out",0.00466037
"S004_5e5053.out",0.0083642
"S004_5e5054.out",0.0119658
"S004_5e5055.out",0.0143164
"S004_5e5056.out",0.016613
"S004_5e5057.out",0.0184858
"S004_5e5058.out",0.0199735
"S004_5e5059.out",0.0217229
"S004_5e5060.out",0.0235757
"S004_5e5061.out",0.0256899
"S004_5e5062.out",0.0276667
"S004_5e5063.out",0.0293596
"S004_5e5064.out",0.0309466
"S004_5e5065.out",0.0323261
"S004_5e5066.out",0.0337986
"S004_5e5067.out",0.0352493
"S004_5e5068.out",0.0369014
"S004_5e5069.out",0.0385395
"S004_5e5070.out",0.0402318
"S004_5e5071.out",0.0416016
"S004_5e5072.out",0.0433427
"S004_5e5073.out",0.0447429
"S004_5e5074.out",0.046222
"S004_5e5075.out",0.04735
"S004_5e5076.out",0.0485057
"S004_5e5077.out",0.0499956
"S004_5e5078.out",0.0513053
"S004_5e5079.out",0.0528458
"S004_5e5080.out",0.0544191
"S004_5e5081.out",0.0560372
"S004_5e5082.out",0.0577464
"S004_5e5083.out",0.0592229
"S004_5e5084.out",0.0607273
"S004_5e5085.out",0.0623306
"S004_5e5086.out",0.0640367
"S004_5e5087.out",0.065852
"S004_5e5088.out",0.0677963
"S004_5e5089.out",0.0694124
"S004_5e5090.out",0.0711727
"S004_5e5091.out",0.0728136
"S004_5e5092.out",0.074757
"S004_5e5093.out",0.0763608
"S004_5e5094.out",0.0782432
"S004_5e5095.out",0.0800018
"S004_5e5096.out",0.0821595
"S004_5e5097.out",0.0840809
"S004_5e5098.out",0.0862653
"S004_5e5099.out",0.0879874
"S004_5e5100.out",0.0898637
"S004_5e5101.out",0.0916277
"S004_5e5102.out",0.0937042
"S004_5e5103.out",0.0954081
"S004_5e5104.out",0.097204
"S004_5e5105.out",0.0989846
"S004_5e5106.out",0.100914
"S004_5e5107.out",0.102676
"S004_5e5108.out",0.10413
"S004_5e5109.out",0.105421
"S004_5e5110.out",0.106783
"S004_5e5111.out",0.108255
"S004_5e5112.out",0.110106
"S004_5e5113.out",0.111863
"S004_5e5114.out",0.113897
"S004_5e5115.out",0.115687
"S004_5e5116.out",0.117997
"S004_5e5117.out",0.120264
"S004_5e5118.out",0.123054
"S004_5e5119.out",0.125396
"S004_5e5120.out",0.128136
"S004_5e5121.out",0.130458
"S004_5e5122.out",0.133307
"S004_5e5123.out",0.135767
"S004_5e5124.out",0.138492
"S004_5e5125.out",0.141133
"S004_5e5126.out",0.143719
"S004_5e5127.out",0.14664
"S004_5e5128.out",0.149724
"S004_5e5129.out",0.152493
"S004_5e5130.out",0.156153
"S004_5e5131.out",0.158831
"S004_5e5132.out",0.162134
"S004_5e5133.out",0.165143
"S004_5e5134.out",0.167991
"S004_5e5135.out",0.171501
"S004_5e5136.out",0.174635
"S004_5e5137.out",0.178109
"S004_5e5138.out",0.181214
"S004_5e5139.out",0.184685
"S004_5e5140.out",0.188389
"S004_5e5141.out",0.191887
"S004_5e5142.out",0.195461
"S004_5e5143.out",0.198782
"S004_5e5144.out",0.202395
"S004_5e5145.out",0.206213
"S004_5e5146.out",0.209884
"S004_5e5147.out",0.213452
"S004_5e5148.out",0.216781
"S004_5e5149.out",0.220276
"S004_5e5150.out",0.224385
"S004_5e5151.out",0.227723
"S004_5e5152.out",0.231852
"S004_5e5153.out",0.235834
"S004_5e5154.out",0.239504
"S004_5e5155.out",0.243415
"S004_5e5156.out",0.246856
"S004_5e5157.out",0.250527
"S004_5e5158.out",0.254369
"S004_5e5159.out",0.258132
"S004_5e5160.out",0.269111
"S004_5e5161.out",0.267235
"S004_5e5162.out",0.270835
"S004_5e5163.out",0.274775
"S004_5e5164.out",0.279715
"S004_5e5165.out",0.287244
"S004_5e5166.out",0.371642
"S004_5e5167.out",0.370975
"S004_5e5168.out",0.348565
"S004_5e5169.out",0.333366
"S004_5e5170.out",0.339395
"S004_5e5171.out",0.405757
"S004_5e5172.out",0.3468
"S004_5e5173.out",0.336583
"S004_5e5174.out",0.376647
"S004_5e5175.out",0.345571
"S004_5e5176.out",0.419612
"S004_5e5177.out",0.420742
"S004_5e5178.out",0.384403
"S004_5e5179.out",0.356021
